wbayp9c59ed169280,2014,BMW,6 Series,650i,Convertible,automatic,ca,37.0,15727.0,white,black,the hertz corporation,66000.0,65000.0,2014-12-18 20:30:00+00:00
5uxkr0c54e0k49204,2014,BMW,X5,xDrive35i,SUV,automatic,ca,5.0,4503.0,white,black,financial services remarketing (lease),57500.0,57250.0,2014-12-18 20:30:00+00:00
kmhgh4jh5du065956,2013,Hyundai,Equus,Ultimate,Sedan,automatic,ca,41.0,7755.0,black,black,hyundai motor america/co car,35500.0,36000.0,2014-12-30 20:30:00+00:00
1c4bjwfg4dl585036,2013,Jeep,Wrangler,Unlimited Rubicon,SUV,manual,ca,47.0,9153.0,red,gray,clear view systems,34300.0,35250.0,2014-12-16 20:30:00+00:00
wddng7db2da502214,2013,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,36.0,4811.0,black,black,mercedes-benz financial services,55100.0,45500.0,2015-01-29 12:30:00+00:00
wddpk5ha1df065483,2013,Mercedes-Benz,SLK-Class,SLK350,Convertible,automatic,ca,44.0,8470.0,black,—,mercedes-benz finc wholesale advantage,44700.0,37000.0,2015-01-15 12:30:00+00:00
wddng7db1da509056,2013,Mercedes-Benz,S-Class,S550,Sedan,NaN,ca,39.0,16426.0,black,black,mercedes-benz financial services,52600.0,54250.0,2015-01-15 12:30:00+00:00
salak2d48da693027,2013,Land Rover,LR4,HSE LUX,SUV,automatic,ca,44.0,2059.0,gray,black,land rover north america llc,58500.0,42000.0,2014-12-18 20:30:00+00:00
salvp2bg5dh781072,2013,Land Rover,Range Rover Evoque,Pure Plus,SUV,automatic,ca,48.0,25524.0,blue,black,mercedes benz of laguna niguel,35400.0,35500.0,2014-12-17 20:30:00+00:00
jthgl1efxd5047925,2013,Lexus,LS 460,L,Sedan,automatic,ca,49.0,71.0,gold,beige,sunshine autos,66000.0,64000.0,2014-12-30 20:30:00+00:00
wddng7db3da492051,2013,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,44.0,14557.0,black,black,mercedes-benz financial services,53000.0,51500.0,2015-01-29 12:30:00+00:00
wddhf2eb5da710377,2013,Mercedes-Benz,E-Class,E350 Sport BlueTEC,Sedan,automatic,ca,47.0,28463.0,—,black,mercedes-benz financial services,36900.0,36250.0,2014-12-18 20:30:00+00:00
wddng7db9da492877,2013,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,36.0,24168.0,black,black,mercedes-benz financial services,55300.0,56250.0,2014-12-18 20:30:00+00:00
4jgdf7ce3da182451,2013,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,ca,42.0,26853.0,gray,black,mercedes-benz usa,46200.0,48000.0,2014-12-18 20:00:00+00:00
4jgdf7ce8da148599,2013,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,ca,43.0,16584.0,silver,black,mercedes-benz usa,47300.0,46750.0,2014-12-18 20:00:00+00:00
4jgda5jb8da218923,2013,Mercedes-Benz,M-Class,ML350,SUV,automatic,ca,5.0,6536.0,silver,black,mercedes-benz finc services premier program,40400.0,42750.0,2014-12-18 20:30:00+00:00
wddng7db8da497438,2013,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,35.0,38407.0,black,black,us bank,53300.0,54000.0,2014-12-18 20:30:00+00:00
salvp1bg7dh775994,2013,Land Rover,Range Rover Evoque,Pure Plus,SUV,automatic,ca,46.0,9214.0,white,black,high bid trading co inc,37400.0,39000.0,2014-12-18 20:00:00+00:00
wddng7db4da498361,2013,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,42.0,38691.0,black,black,mercedes-benz financial services,47900.0,48000.0,2015-01-29 12:30:00+00:00
wddng7db5da496778,2013,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,41.0,33776.0,black,black,mercedes-benz financial services,49500.0,46500.0,2015-01-15 12:30:00+00:00
2t2bk1ba8dc191589,2013,Lexus,RX 350,Base,SUV,automatic,ca,46.0,21932.0,burgundy,black,desert auto trade,36200.0,37750.0,2014-12-16 20:30:00+00:00
wddng7db5da525549,2013,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,44.0,10862.0,black,black,fratelli investment group,57200.0,57250.0,2014-12-18 20:00:00+00:00
wddgj7hb6dg060457,2013,Mercedes-Benz,C-Class,C63 AMG,Coupe,automatic,ca,25.0,10972.0,—,black,mercedes-benz usa,46700.0,36500.0,2015-02-12 12:00:00+00:00
